名称	道具种类	具体类别	详细类别	动画文件名	对应物件索引	宽度	高度	说明文字	五行属性	价格	等级	是否叠放	脚本名(参数1)	技能ID（参数1）	参数2(释法类型)	参数3(是否广播)	参数4(是否有等级概念)	参数5(是否可放快捷栏)
技能物品	6	0	0	\spr\item\questkey\taskobj017.spr	9	1	1	技能呀技能呀		100	1	1	28	141	1	1	1	1
脚本物品	6	1	0	\spr\item\questkey\taskobj025.spr	9	1	1	脚本呀脚本呀		1200	2	1	\script\missions\宋金战场pk战\宋金战场宋方主管npc.lua	0	1	0	0	1
长命丸	6	0	1	\spr\item\medecine\obj-potion15.spr	19	1	1	5分钟内，生命上限增加500点。		50	1	0	0	256	1	1	0	1
加跑丸	6	0	2	\spr\item\medecine\obj-potion15.spr	19	1	1	5分钟内，移动速度加快20%。		50	1	0	0	257	1	1	0	1
大力丸	6	0	3	\spr\item\medecine\obj-potion15.spr	19	1	1	5分钟内，物力攻击增加100点。		50	1	0	0	258	1	1	0	1
高闪丸	6	0	4	\spr\item\medecine\obj-potion15.spr	19	1	1	5分钟内，闪避率提高500点。		50	1	0	0	259	1	1	0	1
高中丸	6	0	5	\spr\item\medecine\obj-potion15.spr	19	1	1	5分钟内，命中率提高500点。		50	1	0	0	260	1	1	0	1
飞速丸	6	0	6	\spr\item\medecine\obj-potion15.spr	19	1	1	5分钟内，攻击速度增加50。		50	1	0	0	261	1	1	0	1
冰防丸	6	0	7	\spr\item\medecine\obj-potion15.spr	19	1	1	5分钟内，冰防御提高50%。		50	1	0	0	262	1	1	0	1
雷防丸	6	0	8	\spr\item\medecine\obj-potion15.spr	19	1	1	5分钟内，雷防御提高50%。		50	1	0	0	263	1	1	0	1
火防丸	6	0	9	\spr\item\medecine\obj-potion15.spr	19	1	1	5分钟内，火防御提高50%。		50	1	0	0	264	1	1	0	1
毒防丸	6	0	10	\spr\item\medecine\obj-potion15.spr	19	1	1	5分钟内，毒防御提高50%。		50	1	0	0	265	1	1	0	1
