等级	升级需要经验
1	100
2	500
3	1100
4	1900
5	2900
6	4100
7	5500
8	7100
9	8900
10	10900
11	13100
12	15700
13	18700
14	22100
15	25900
16	30100
17	34700
18	39700
19	45100
20	50900
21	57100
22	63900
23	71300
24	79300
25	87900
26	97100
27	106900
28	117300
29	128300
30	139900
31	152100
32	165100
33	178900
34	193500
35	208900
36	225100
37	242100
38	259900
39	278500
40	297900
41	318100
42	339300
43	361500
44	384700
45	408900
46	434100
47	460300
48	487500
49	515700
50	544900
51	575100
52	606600
53	639400
54	673500
55	708900
56	745600
57	783600
58	822900
59	863500
60	905400
61	948600
62	993600
63	1040400
64	1089000
65	1139400
66	1191600
67	1245600
68	1301400
69	1359000
70	1418400
71	1479600
72	1543500
73	1610100
74	1679400
75	1751400
76	1826100
77	1903500
78	1983600
79	2066400
80	2151900
81	2240100
82	2332400
83	2428800
84	2529300
85	2633900
86	2742600
87	2855400
88	2972300
89	3093300
90	3218400
91	3347600
92	3483100
93	3624900
94	3773000
95	3927400
96	4088100
97	4255100
98	4428400
99	4608000
100	4793900
101	4986100
102	5187900
103	5399300
104	5620300
105	5850900
106	6091100
107	6340900
108	6600300
109	6869300
110	7147900
111	7436100
112	7738800
113	8056000
114	8387700
115	8733900
116	9094600
117	9469800
118	9859500
119	10263700
120	10682400
121	11115600
122	11570300
123	12046500
124	12544200
125	13063400
126	13604100
127	14166300
128	14750000
129	15355200
130	15981900
131	16630100
132	412812100
133	412812100
134	412812100
135	412812100
136	412812100
137	412812100
138	412812100
139	412812100
140	412812100
141	412812100
142	412812100
143	412812100
144	412812100
145	412812100
146	412812100
147	412812100
148	412812100
149	412812100
150	412812100
151	412812100
152	412812100
153	412812100
154	412812100
155	412812100
156	412812100
157	412812100
158	412812100
159	412812100
160	412812100
161	412812100
162	412812100
163	412812100
164	412812100
165	412812100
166	412812100
167	412812100
168	412812100
169	412812100
170	412812100
171	412812100
172	412812100
173	412812100
174	412812100
175	412812100
176	412812100
177	412812100
178	412812100
179	412812100
180	412812100
181	412812100
182	412812100
183	412812100
184	412812100
185	412812100
186	412812100
187	412812100
188	412812100
189	412812100
190	412812100
191	412812100
192	412812100
193	412812100
194	412812100
195	412812100
196	412812100
197	412812100
198	412812100
199	412812100
200	412812100
