Name	Kind	Camp	Series	HeadImage	ClientOnly	CorpseIdx	DeathFrame	WalkFrame	RunFrame	HurtFrame	WalkSpeed	RunSpeed	AttackSpeed	CastSpeed	StandFrame	StandFrame1	Stature	Treasure	AIMode	AIParam1	AIParam2	AIParam3	AIParam4	AIParam5	AIParam6	AIParam7	FireResistMax	ColdResistMax	LightingResistMax	PoisonResistMax	PhycicsResistMax	ActiveRadius	VisionRadius	DropRateFile	AIMaxTime	HitRecover	ReviveFrame	ArmorType	HelmType	WeaponType	HorseType	RideHorse	ActionScript	Skill1	Level1	Skill2	Level2	Skill3	Level3	Skill4	Level4	LifeReplenish	Defense	MinDamage	MaxDamage	AttackRating	RedLum	GreenLum	BlueLum	FireResist	ColdResist	LightingResist	PoisonResist	PhycicsResist	ten	ExpParam1	ExpParam2	ExpParam3	LifeParam1	LifeParam2	LifeParam3	ARParam1	ARParam2	ARParam3	NpcResType	DefenseParam1	DefenseParam2	DefenseParam3	MinDamageParam1	MinDamageParam2	MinDamageParam3	MaxDamageParam1	MaxDamageParam2	MaxDamageParam3
1	0	5	0			43	20	20	20	12	6	6	25	25	28	28	100	1	3	10	10	0	90	100	0	0	60	75	75	90	75	1000	400	\Settings\DropRate.ini		50	3600	0	0	0	0	0		短兵物理攻击	1|0	短兵物理攻击	1|0	短兵物理攻击	1|0	短兵物理攻击	1|0	3	50|4	5|1	5|1	60|6				0|0	0|0.5	0|0.5	0|0.95	0|0.5	东北虎	10	3	700	80	6		60	6		ani001	50	4	10	5	1	10	5	1	10
2	0	5	1			44	25	20	20	12	6	6	25	25	24	35	100	1	3	10	10	0	90	100	0	0	75	75	90	75	60	1000	400	\Settings\DropRate.ini		50	3600	0	0	0	0	0		短兵物理攻击	1|0	短兵物理攻击	1|0	短兵物理攻击	1|0	短兵物理攻击	1|0	3	50|4	5|1	5|1	60|6				0|0.5	0|0.5	0|0.95	0|0.5	0|0	华南虎	10	3	700	60	5		60	6		ani002	50	4	10	5	1	10	5	1	10
3	0	5	2			45	20	20	20	12	6	6	25	25	24	26	100	1	3	10	10	0	90	100	0	0	90	75	60	75	75	1000	400	\Settings\DropRate.ini		50	3600	0	0	0	0	0		短兵物理攻击	1|0	短兵物理攻击	1|0	短兵物理攻击	1|0	短兵物理攻击	1|0	3	50|4	5|1	5|1	60|6				0|0.95	0|0.5	0|0	0|0.5	0|0.5	白虎	10	3	700	60	5		60	6		ani003	50	4	10	5	1	10	5	1	10
4	0	5	3			47	30	21	21	13	6	6	25	25	30	36	100	1	3	10	10	0	90	100	0	0	75	60	75	75	90	1000	400	\Settings\DropRate.ini		50	3600	0	0	0	0	0		短兵物理攻击	1|0	短兵物理攻击	1|0	短兵物理攻击	1|0	短兵物理攻击	1|0	3	50|4	5|1	5|1	60|6				0|0.5	0|0	0|0.5	0|0.5	0|0.95	金钱豹	8	2.5	700	60	5		60	6		ani005	50	4	10	5	1	10	5	1	10
4	0	5	4			48	31	14	14	14	6	6	25	25	28	28	100	1	3	10	10	0	90	100	0	0	75	90	75	60	75	1000	400	\Settings\DropRate.ini		50	3600	0	0	0	0	0		短兵物理攻击	1|0	短兵物理攻击	1|0	短兵物理攻击	1|0	短兵物理攻击	1|0	3	50|4	5|1	5|1	60|6				0|0.5	0|0.95	0|0.5	0|0	0|0.5	雪豹	8	2.5	700	60	5		60	6		ani006	50	4	10	5	1	10	5	1	10
4	0	5	0			51	26	20	20	12	6	6	25	25	15	28	100	1	3	10	10	0	90	100	0	0	60	75	75	90	75	1000	400	\Settings\DropRate.ini		50	3600	0	0	0	0	0		短兵物理攻击	1|0	短兵物理攻击	1|0	短兵物理攻击	1|0	短兵物理攻击	1|0	3	50|4	5|1	5|1	60|6				0|0	0|0.5	0|0.5	0|0.95	0|0.5	灰狼	8	2.5	700	60	5		60	6		ani009	50	4	10	5	1	10	5	1	10
5	0	5	1			52	26	12	12	13	6	6	25	25	18	28	100	1	3	10	10	0	90	100	0	0	75	75	90	75	60	1000	400	\Settings\DropRate.ini		50	3600	0	0	0	0	0		短兵物理攻击	1|0	短兵物理攻击	1|0	短兵物理攻击	1|0	短兵物理攻击	1|0	3	50|4	5|1	5|1	60|6				0|0.5	0|0.5	0|0.95	0|0.5	0|0	火狼	8	2.5	700	60	5		60	6		ani010	50	4	10	5	1	10	5	1	10
6	0	5	2			53	20	12	12	10	6	6	25	25	10	28	100	1	3	10	10	0	90	100	0	0	90	75	60	75	75	1000	400	\Settings\DropRate.ini		50	3600	0	0	0	0	0		短兵物理攻击	1|0	短兵物理攻击	1|0	短兵物理攻击	1|0	短兵物理攻击	1|0	3	50|4	5|1	5|1	60|6				0|0.95	0|0.5	0|0	0|0.5	0|0.5	青狼	8	2.5	700	60	5		60	6		ani011	50	4	10	5	1	10	5	1	10
7	0	5	3			54	16	15	15	10	6	6	25	25	12	22	100	1	3	10	10	0	90	100	0	0	75	60	75	75	90	1000	400	\Settings\DropRate.ini		50	3600	0	0	0	0	0		短兵物理攻击	1|0	短兵物理攻击	1|0	短兵物理攻击	1|0	短兵物理攻击	1|0	3	50|4	5|1	5|1	60|6				0|0.5	0|0	0|0.5	0|0.5	0|0.95	雪狼	8	2.5	700	60	5		60	6		ani012	50	4	10	5	1	10	5	1	10
8	0	5	4			55	14	21	21	9	6	6	25	25	14	30	100	1	3	20	80	90	90	100	0	0	75	90	75	60	75	1000	400	\Settings\DropRate.ini		10	3600	0	0	0	0	0		喷毛	1|0	喷毛	1|0	喷毛	1|0	喷毛	1|0	1	80|6	1|0.2	6|1	50|4				0|0.5	0|0.95	0|0.5	0|0	0|0.5	狐狸	8	2	700	40	3		50	4		ani013	80	6	10	1	0.2	10	5	1	10
