
*
***** 帐号服务管理启动   (@ 2009/08/25 19:06:42.312) >>>>>
*

[2009/08/25 19:07:42] 1 >> 数据库     0 正在使用!
[2009/08/25 19:07:42] 2 >> 增加网关   (192.168.1.88 : 2457) 客户端 0 ! -- 在 0
[2009/08/25 19:07:42] 3 >> 数据库     0 未被使用!
[2009/08/25 19:07:42] 4 >> 数据库     0 正在使用!
[2009/08/25 19:07:42] 5 >> 网关    (192.168.1.88)001E-4C67-82F9: 用户, 密码!     
[2009/08/25 19:07:42] 6 >> 网关客户端已退出      0 ! -- At 0
[2009/08/25 19:07:45] 7 >> 数据库     0 未被使用!
[2009/08/25 19:08:39] 8 >> 数据库     0 正在使用!
[2009/08/25 19:08:39] 9 >> 增加网关   (192.168.1.88 : 2458) 客户端 1 ! -- 在 0
[2009/08/25 19:08:39] 10 >> 数据库     0 未被使用!
[2009/08/25 19:08:39] 11 >> 数据库     0 正在使用!
[2009/08/25 19:08:39] 12 >> 网关    free(192.168.1.88)001E-4C67-82F9: 验证成功!!!
[2009/08/25 19:08:39] 13 >> 网关解锁成功!     
[2009/08/25 19:08:39] 14 >> 网关连接成功!      
[2009/08/25 19:08:39] 15 >> 数据库     0 未被使用!
[2009/08/25 19:08:51] 16 >> 网关    free(192.168.1.88): Ping 14(s)
[2009/08/25 19:09:03] 17 >> 网关    free(192.168.1.88): Ping 10(s)
[2009/08/25 19:09:12] 18 >> 网关    free(192.168.1.88): Ping 10(s)
[2009/08/25 19:09:21] 19 >> 网关    free(192.168.1.88): Ping 10(s)
[2009/08/25 19:09:33] 20 >> 网关    free(192.168.1.88): Ping 10(s)
[2009/08/25 19:09:42] 21 >> 网关    free(192.168.1.88): Ping 10(s)
[2009/08/25 19:09:51] 22 >> 网关    free(192.168.1.88): Ping 10(s)
[2009/08/25 19:10:03] 23 >> 网关    free(192.168.1.88): Ping 10(s)
[2009/08/25 19:10:12] 24 >> 网关    free(192.168.1.88): Ping 10(s)
[2009/08/25 19:10:21] 25 >> 网关    free(192.168.1.88): Ping 10(s)
[2009/08/25 19:10:33] 26 >> 网关    free(192.168.1.88): Ping 10(s)
[2009/08/25 19:10:42] 27 >> 网关    free(192.168.1.88): Ping 10(s)
[2009/08/25 19:10:51] 28 >> 网关    free(192.168.1.88): Ping 10(s)
[2009/08/25 19:11:00] 29 >> 数据库     0 正在使用!
[2009/08/25 19:11:00] 30 >> 网关    free(192.168.1.88): 用户 test 登陆  失败!    --- 资金不足
[2009/08/25 19:11:03] 31 >> 网关    free(192.168.1.88): Ping 10(s)
[2009/08/25 19:11:03] 32 >> 数据库     0 未被使用!
[2009/08/25 19:11:12] 33 >> 网关    free(192.168.1.88): Ping 10(s)
[2009/08/25 19:11:21] 34 >> 网关    free(192.168.1.88): Ping 10(s)
[2009/08/25 19:11:33] 35 >> 网关    free(192.168.1.88): Ping 10(s)
[2009/08/25 19:11:42] 36 >> 网关    free(192.168.1.88): Ping 10(s)
[2009/08/25 19:11:51] 37 >> 网关    free(192.168.1.88): Ping 10(s)
[2009/08/25 19:12:03] 38 >> 网关    free(192.168.1.88): Ping 10(s)
[2009/08/25 19:12:12] 39 >> 网关    free(192.168.1.88): Ping 10(s)
[2009/08/25 19:12:21] 40 >> 网关    free(192.168.1.88): Ping 10(s)
[2009/08/25 19:12:33] 41 >> 网关    free(192.168.1.88): Ping 10(s)
[2009/08/25 19:12:42] 42 >> 网关    free(192.168.1.88): Ping 10(s)
[2009/08/25 19:12:51] 43 >> 网关    free(192.168.1.88): Ping 10(s)
[2009/08/25 19:13:03] 44 >> 网关    free(192.168.1.88): Ping 10(s)
[2009/08/25 19:13:12] 45 >> 网关    free(192.168.1.88): Ping 10(s)
[2009/08/25 19:13:21] 46 >> 网关    free(192.168.1.88): Ping 10(s)
[2009/08/25 19:13:33] 47 >> 网关    free(192.168.1.88): Ping 10(s)
[2009/08/25 19:13:42] 48 >> 网关    free(192.168.1.88): Ping 10(s)
[2009/08/25 19:13:51] 49 >> 网关    free(192.168.1.88): Ping 10(s)
[2009/08/25 19:14:03] 50 >> 网关    free(192.168.1.88): Ping 10(s)
[2009/08/25 19:14:12] 51 >> 网关    free(192.168.1.88): Ping 10(s)
[2009/08/25 19:14:21] 52 >> 网关    free(192.168.1.88): Ping 10(s)
[2009/08/25 19:14:33] 53 >> 网关    free(192.168.1.88): Ping 10(s)
[2009/08/25 19:14:42] 54 >> 网关    free(192.168.1.88): Ping 10(s)
[2009/08/25 19:14:51] 55 >> 网关    free(192.168.1.88): Ping 10(s)
[2009/08/25 19:15:03] 56 >> 网关    free(192.168.1.88): Ping 10(s)
