ID	STRING
10001	GM Command List
10002	3
10003	扬州府衙布告
10004	扬州<——>襄阳
10005	扬州<——>蜀冈山
10006	扬州<——>丐帮
10007	茶博士：茶乃天下第一雅品，品茶乃天下第一雅事。人人都知品茶有讲究，其实沏茶也有大学问。
10008	茶博士：沏茶有下投、中投、上投之分。冬季下投，先茶后汤；春秋中投，汤半下茶，复以汤满；夏季上投，先汤后茶。
10009	茶博士：汤有三辨：一曰形辨，有虾目、蟹目、鱼眼、连珠、涌泉；二曰声辨，有初声、转声、振声、骤声；三曰气辨，有轻雾、淡烟、凝云、布露。
10010	茶博士：饮茶应以糕点果脯点茶，好比饮酒要有下酒菜……
10011	茶馆老板：我这间茶馆可是老字号了，扬州城的人都到我这儿喝茶，有不少已经是几十年的老主顾了。
10012	茶客：这家富春茶坊已经开了几十年，我打小就在这儿喝早茶，掌柜都是我的老熟人啦。
10013	茶客：老头子我一把年纪，没事儿就爱喝喝茶，养养鸟，这日子过得倒也悠哉游哉。
10014	城门卫兵：辣块妈妈的！老子已经当了两天班，现在又要老子守夜，还要不要人活！
10015	城门卫兵：我今晚约了翠红楼的小凤，可有的乐啦，嘿嘿！
10016	城门卫兵：这个月得去看看丈母娘，不然又要挨老婆骂了。
10017	城门卫兵：总说金人要来，我连个鬼影子也没见到！
10018	城门卫兵：天天都要站岗，真没劲！
10019	宠物老板娘：我相公很早就去世了，留下这家宠物店。我一个妇道人家，既要抚养儿子，还要打理这家店，这其中的艰辛，真是一言难尽！
10020	宠物老板娘：好在我总算熬出头了，如今儿子长大成人，这家店交给他，我也就放心了！
10021	一苇法师：本寺建于南朝刘宋孝武帝大明年间，迄今已有七百年的历史，一直享有“淮东第一胜境”的盛名。
10022	当铺老板：只要有穷鬼，就会有当铺。哪天我这当铺不开了，那些穷鬼还不得饿死？
10023	赌场打手：这家赌场是工部侍郎康大人的公子开的，你可别惹事！
10024	赌场打手：别以为背着把破剑就可以横行无忌，小心惹祸上身。
10025	赌场老板：人生在世，就是吃喝玩乐。没有了赌场，生活还有什么乐子？生逢乱世，还是及时行乐吧，也不枉活这一遭。
10026	赌徒：辣块妈妈！老子又输了！
10027	赌徒：今儿连开了几局豹子，怎么这么邪门！
10028	赌徒：本来好容易赢了几把，结果又输了，真不甘心！
10029	如果是那些穷鬼来当东西，那么价钱尽管往下压，再低他也会当。
10030	如果是那些一时手紧的有钱人，那价格就不能太低，多交一个朋友多一条路，风水轮流转，以后见面也好办事嘛。
10031	妓女：本姑娘什么大爷没有见过？装什么正经？若是真的正经人，就不会来这种地方了。
10032	妓女：你不会是来找相公的吧？咯咯咯咯……
