Í·¿ø±àºÅ	²¿¼þ±àºÅ	
1	20	
2	2	
3	2	
4	2	
5	2	
6	2	
7	2	
8	3	
9	3	
10	3	
11	4	
12	5	
13	5	
14	5	
15	5	
16	5	
17	5	
18	6	
19	6	
20	6	
21	7	
22	14	
23	14	
24	14	
25	14	
26	14	
27	14	
28	15	
29	15	
30	15	
31	16	
32	8	
33	8	
34	8	
35	8	
36	8	
37	8	
38	9	
39	9	
40	9	
41	10	
42	20	
43	20	
44	20	
45	20	
46	20	
47	20	
48	21	
49	21	
50	21	
51	22	
52	17	
53	17	
54	17	
55	17	
56	17	
57	17	
58	18	
59	18	
60	18	
61	19	
62	20	
63	20	
64	20	
65	20	
66	20	
67	20	
68	21	
69	21	
70	21	
71	22	
72	11	
73	11	
74	11	
75	11	
76	11	
77	11	
78	12	
79	12	
80	12	
81	13	
82	11	
83	11	
84	11	
85	11	
86	11	
87	11	
88	12	
89	12	
90	12	
91	13	
