等级	下一级经验	升级需要经验
1	50 	50 
2	200 	150 
3	400 	200 
4	700 	300 
5	1300 	600 
6	2200 	900 
7	3400 	1200 
8	4900 	1500 
9	6700 	1800 
10	8800 	2100 
11	11200 	2400 
12	13800 	2600 
13	16600 	2800 
14	19700 	3100 
15	23000 	3300 
16	26600 	3600 
17	30500 	3900 
18	34700 	4200 
19	39300 	4600 
20	44300 	5000 
21	49700 	5400 
22	55500 	5800 
23	61800 	6300 
24	68600 	6800 
25	76000 	7400 
26	84000 	8000 
27	92600 	8600 
28	101900 	9300 
29	112000 	10100 
30	122900 	10900 
31	134700 	11800 
32	147500 	12800 
33	161300 	13800 
34	176200 	14900 
35	192400 	16200 
36	209900 	17500 
37	228800 	18900 
38	249300 	20500 
39	271400 	22100 
40	295300 	23900 
41	321200 	25900 
42	349200 	28000 
43	379500 	30300 
44	412300 	32800 
45	447700 	35400 
46	486000 	38300 
47	527400 	41400 
48	572200 	44800 
49	620700 	48500 
50	673100 	52400 
51	729800 	56700 
52	791100 	61300 
53	857400 	66300 
54	929200 	71800 
55	1006800 	77600 
56	1090700 	83900 
57	1181500 	90800 
58	1279700 	98200 
59	1385900 	106200 
60	1506200 	120300 
61	1642500 	136300 
62	1797000 	154500 
63	1972000 	175000 
64	2170300 	198300 
65	2395000 	224700 
66	2649600 	254600 
67	2938100 	288500 
68	3264900 	326800 
69	3635200 	370300 
70	4054800 	419600 
71	4551800 	497000 
72	5140500 	588700 
73	5837800 	697300 
74	6663800 	826000 
75	7642200 	978400 
76	8801100 	1158900 
77	10173800 	1372700 
78	11799800 	1626000 
79	13725800 	1926000 
80	16007100 	2281300 
81	18709400 	2702300 
82	21910200 	3200800 
83	25701600 	3791400 
84	30192500 	4490900 
85	35512000 	5319500 
86	41813000 	6301000 
87	49276500 	7463500 
88	58117100 	8840600 
89	68588700 	10471600 
90	80992400 	12403700 
91	95684600 	14692200 
92	113087500 	17402900 
93	133701200 	20613700 
94	158118100 	24416900 
95	187040000 	28921900 
96	221298000 	34258000 
97	261876600 	40578600 
98	309941900 	48065300 
99	366875300 	56933400 
100	434312900 	67437600 
101	514192800 	79879900 
102	608810500 	94617700 
103	720885200 	112074700 
104	853637700 	132752500 
105	1010883000 	157245300 
106	1197140100 	186257100 
107	1417761600 	220621500 
108	1679087800 	261326200 
109	1988628700 	309540900 
110	2355279900 	1 
111	2355279901 	1 
112	2355279902 	1 
113	2355279903 	1 
114	2355279904 	1 
115	2355279905 	1 
116	2355279906 	1 
117	2355279907 	1 
118	2355279908 	1 
119	2355279909 	1 
120	2355279910 	1 
121	2355279911 	1 
122	2355279912 	1 
123	2355279913 	1 
124	2355279914 	1 
125	2355279915 	1 
126	2355279916 	1 
127	2355279917 	1 
128	2355279918 	1 
129	2355279919 	1 
130	2355279920 	1 
131	2355279921 	1 
132	2355279922 	1 
133	2355279923 	1 
134	2355279924 	1 
135	2355279925 	1 
136	2355279926 	1 
137	2355279927 	1 
138	2355279928 	1 
139	2355279929 	1 
140	2355279930 	1 
141	2355279931 	1 
142	2355279932 	1 
143	2355279933 	1 
144	2355279934 	1 
145	2355279935 	1 
146	2355279936 	1 
147	2355279937 	1 
148	2355279938 	1 
149	2355279939 	1 
150	2355279940 	1 
151	2355279941 	1 
152	2355279942 	1 
153	2355279943 	1 
154	2355279944 	1 
155	2355279945 	1 
156	2355279946 	1 
157	2355279947 	1 
158	2355279948 	1 
159	2355279949 	1 
160	2355279950 	1 
161	2355279951 	1 
162	2355279952 	1 
163	2355279953 	1 
164	2355279954 	1 
165	2355279955 	1 
166	2355279956 	1 
167	2355279957 	1 
168	2355279958 	1 
169	2355279959 	1 
170	2355279960 	1 
171	2355279961 	1 
172	2355279962 	1 
173	2355279963 	1 
174	2355279964 	1 
175	2355279965 	1 
176	2355279966 	1 
177	2355279967 	1 
178	2355279968 	1 
179	2355279969 	1 
180	2355279970 	1 
181	2355279971 	1 
182	2355279972 	1 
183	2355279973 	1 
184	2355279974 	1 
185	2355279975 	1 
186	2355279976 	1 
187	2355279977 	1 
188	2355279978 	1 
189	2355279979 	1 
190	2355279980 	1 
191	2355279981 	1 
192	2355279981 	1 
193	2355279982 	1 
194	2355279983 	1 
195	2355279984 	1 
196	2355279985 	1 
197	2355279986 	1 
198	2355279987 	1 
199	2355279988 	1 
200	2355279989 	1 
